time, Quad.IMU.AX
2.430006,0.607905
2.435006,-0.364739
2.440006,-0.156912
2.445005,0.223184
2.450005,-0.066235
2.455004,0.687112
2.460004,0.443842
2.465004,-0.895561
2.470003,-0.622897
2.475003,-0.391676
2.480003,0.228335
2.485002,0.112030
2.490002,-0.906549
2.495002,-0.209392
2.500001,0.044420
2.505001,0.265094
2.510000,-0.025421
2.515000,-0.416564
2.520000,-0.034012
2.524999,-0.493495
2.529999,0.214529
2.534999,-0.641830
2.539998,0.087490
2.544998,0.078455
2.549998,-0.281560
2.554997,-0.311834
2.559997,-0.143806
2.564996,-0.127018
2.569996,-0.957970
2.574996,0.137190
2.579995,-0.286527
2.584995,0.307446
2.589995,0.454392
2.594994,-0.815159
2.599994,0.521366
2.604994,0.766897
2.609993,0.525416
2.614993,1.272502
2.619992,-0.141980
2.624992,0.834644
2.629992,-0.354986
2.634991,-0.562742
2.639991,0.871378
2.644991,0.633152
2.649990,0.007805
2.654990,-0.194902
2.659990,0.373711
2.664989,0.290867
2.669989,-0.119424
2.674989,0.723817
2.679988,-0.726339
2.684988,-0.666089
2.689987,0.290600
2.694987,-0.584654
2.699987,-0.033320
2.704986,-0.585368
2.709986,0.265202
2.714986,-0.770709
2.719985,0.415677
2.724985,-0.356261
2.729985,0.590921
2.734984,0.410168
2.739984,-0.092550
2.744983,-0.575089
2.749983,-0.075507
2.754983,0.406359
2.759982,-0.589545
2.764982,0.025917
2.769982,0.201274
2.774981,0.255119
2.779981,0.617067
2.784981,0.480137
2.789980,-0.219352
2.794980,-0.127234
2.799979,0.015533
2.804979,-0.196958
2.809979,-0.389157
2.814978,0.047016
2.819978,0.143541
2.824978,-0.506378
2.829977,0.748928
2.834977,0.249053
2.839977,0.561316
2.844976,0.815593
2.849976,-0.437181
2.854975,-0.130801
2.859975,-0.036886
2.864975,-0.912472
2.869974,0.726917
2.874974,-0.470164
2.879974,0.178100
2.884973,0.347665
2.889973,-0.266691
2.894973,-0.172501
2.899972,0.569548
2.904972,-0.034883
2.909971,0.770964
2.914971,0.256487
2.919971,0.273450
2.924970,0.184771
2.929970,-0.604540
2.934970,-0.201913
2.939969,-0.053854
2.944969,-0.281720
2.949969,0.204574
2.954968,0.211062
2.959968,-0.841045
2.964967,0.181035
2.969967,0.024973
2.974967,0.478720
2.979966,-0.252357
2.984966,-0.441508
2.989966,-0.147571
2.994965,0.984270
2.999965,-1.209935
3.004965,0.342666
3.009964,0.831408
3.014964,-0.288859
3.019964,-0.352781
3.024963,0.247637
3.029963,-0.237625
3.034962,-0.436625
3.039962,0.101378
3.044962,0.050565
3.049961,0.595168
3.054961,-0.273501
3.059961,-0.442101
3.064960,-0.052462
3.069960,0.299510
3.074960,0.152925
3.079959,-0.553045
3.084959,0.425272
3.089958,-0.016867
3.094958,-1.004997
3.099958,-0.470057
3.104957,-0.344541
3.109957,0.042920
3.114957,0.064104
3.119956,-0.817057
3.124956,0.068533
3.129956,0.900139
3.134955,0.975994
3.139955,-0.062092
3.144954,-0.735952
3.149954,-1.071591
3.154954,0.454393
3.159953,-0.029275
3.164953,-0.255899
3.169953,-0.530527
3.174952,0.023184
3.179952,0.177777
3.184952,-0.694415
3.189951,-0.327358
3.194951,0.809328
3.199950,-0.294438
3.204950,-0.444291
3.209950,0.663787
3.214949,0.306264
3.219949,-0.607059
3.224949,0.211070
3.229948,0.161935
3.234948,0.440936
3.239948,-0.498051
3.244947,-0.040879
3.249947,0.188366
3.254946,-0.185706
3.259946,-0.017367
3.264946,-0.697368
3.269945,-0.557171
3.274945,0.604498
3.279945,-0.913660
3.284944,-0.271688
3.289944,-0.163777
3.294944,-0.275120
3.299943,-0.315407
3.304943,-0.260674
3.309942,0.025422
3.314942,0.697676
3.319942,-1.031793
3.324941,-0.013377
3.329941,0.773217
3.334941,-0.223459
3.339940,-0.609333
3.344940,0.021317
3.349940,-0.218583
3.354939,-0.462488
3.359939,-0.773418
3.364938,-0.099413
3.369938,-0.556901
3.374938,0.278063
3.379937,-0.025498
3.384937,-0.392830
3.389937,-1.008360
3.394936,-0.425211
3.399936,-0.718048
3.404936,0.706057
3.409935,0.050930
3.414935,0.021389
3.419935,0.337206
3.424934,0.694587
3.429934,-0.017520
3.434933,0.141107
3.439933,1.377375
3.444933,-0.165919
3.449932,-0.060955
3.454932,-0.181079
3.459932,0.471646
3.464931,-0.542866
3.469931,-0.359436
3.474931,0.941164
3.479930,-0.536234
3.484930,0.062734
3.489929,-0.296090
3.494929,0.119774
3.499929,0.240252
3.504928,-0.579244
3.509928,-0.560202
3.514928,-0.853550
3.519927,-0.644661
3.524927,0.620016
3.529927,-0.538603
3.534926,-0.256003
3.539926,-0.818993
3.544925,-0.304848
3.549925,-0.077332
3.554925,0.285158
3.559924,0.280244
3.564924,0.137341
3.569924,-0.200106
3.574923,0.019187
3.579923,-0.574704
3.584923,0.674279
3.589922,-0.722155
3.594922,0.076446
3.599921,0.477675
3.604921,0.365244
3.609921,0.834649
3.614920,0.194905
3.619920,0.093812
3.624920,-0.596915
3.629919,-1.101815
3.634919,0.895703
3.639919,0.719569
3.644918,0.170550
3.649918,-0.787129
3.654917,0.140938
3.659917,0.193417
3.664917,0.742931
3.669916,-0.270227
3.674916,0.095417
3.679916,-0.186262
3.684915,0.442288
3.689915,-0.608156
3.694915,0.107095
3.699914,-0.937397
3.704914,-1.065858
3.709913,1.402524
3.714913,0.678746
3.719913,-0.311803
3.724912,0.256767
3.729912,0.037784
3.734912,0.146626
3.739911,-0.552581
3.744911,0.429311
3.749911,0.529181
3.754910,0.330084
3.759910,-0.308036
3.764910,0.509954
3.769909,-0.021121
3.774909,0.509718
3.779908,0.169704
3.784908,-0.716173
3.789908,0.841925
3.794907,0.230957
3.799907,0.218306
3.804907,1.104940
3.809906,-0.981314
3.814906,-0.113099
3.819906,-0.619740
3.824905,0.575776
3.829905,-0.251047
3.834904,-0.547227
3.839904,-0.526330
3.844904,0.823336
3.849903,0.974022
3.854903,-0.191459
3.859903,-0.540620
3.864902,0.187458
3.869902,0.190612
3.874902,0.761001
3.879901,-0.484093
3.884901,-0.217774
3.889900,-0.822468
3.894900,0.317225
3.899900,0.258848
3.904899,-0.651309
3.909899,0.320336
3.914899,0.526333
3.919898,-0.662312
3.924898,0.459455
3.929898,-0.165077
3.934897,0.139707
3.939897,0.211715
3.944896,-0.192715
3.949896,-0.430319
3.954896,0.032619
3.959895,-0.789301
3.964895,-0.436756
3.969895,-0.386578
3.974894,0.228785
3.979894,0.421944
3.984894,-0.423634
3.989893,-0.124082
3.994893,1.001177
3.999892,-0.173232
4.004892,0.188857
4.009892,0.725122
4.014892,0.086907
4.019891,-0.465546
4.024891,0.623014
4.029891,-0.267648
4.034890,-0.287412
4.039890,-0.701947
4.044889,-0.421494
4.049889,-0.719909
4.054889,0.343913
4.059888,-0.122445
4.064888,-0.680141
4.069888,-0.187511
4.074887,0.202529
4.079887,-0.166275
4.084887,-0.081020
4.089886,0.570298
4.094886,-0.249973
4.099885,0.060483
4.104885,0.014422
4.109885,-0.238149
4.114884,-0.041558
4.119884,-0.152290
4.124884,-0.941174
4.129883,-0.378592
4.134883,0.113105
4.139883,-0.611759
4.144882,-0.619883
4.149882,0.969017
4.154881,0.669995
4.159881,0.383436
4.164881,-0.165210
4.169880,-0.591733
4.174880,0.142251
4.179880,0.391546
4.184879,-0.329578
4.189879,0.381973
4.194879,-0.392353
4.199878,-0.246236
4.204878,-0.883014
4.209877,0.390951
4.214877,-0.103789
4.219877,0.728832
4.224876,0.572643
4.229876,0.572266
4.234876,-0.433659
4.239875,0.789501
4.244875,-0.119973
4.249875,0.625994
4.254874,-0.646265
4.259874,-0.319214
4.264874,0.265568
4.269873,0.049002
4.274873,-0.017073
4.279872,0.152919
4.284872,-0.161283
4.289872,-0.201298
4.294871,0.387130
4.299871,-0.184905
4.304871,0.219194
4.309870,-0.926294
4.314870,-0.537147
4.319870,-0.846414
4.324869,0.285530
4.329869,0.324091
4.334868,-0.146944
4.339868,0.683557
4.344868,-0.448602
4.349867,-0.307367
4.354867,0.521257
4.359867,-0.069072
4.364866,0.041493
4.369866,-0.364386
4.374866,0.005558
4.379865,-0.060800
4.384865,0.124836
4.389864,-0.549983
4.394864,0.587280
4.399864,0.336345
4.404863,0.958375
4.409863,0.286550
4.414863,0.621130
4.419862,-0.311912
4.424862,-0.402666
4.429862,-0.013305
4.434861,-1.265165
4.439861,0.549785
4.444860,-0.175233
4.449860,0.543766
4.454860,-0.434163
4.459859,-0.247609
4.464859,0.672895
4.469859,0.032342
4.474858,-0.771252
4.479858,-0.605837
4.484858,-0.744614
4.489857,-0.371645
4.494857,-0.470146
4.499856,0.601347
4.504856,0.246652
4.509856,0.242007
4.514855,-0.429219
4.519855,-0.460225
4.524855,-0.042634
4.529854,-0.146900
4.534854,-0.455349
4.539854,-0.946737
4.544853,0.687668
4.549853,0.051522
4.554852,-0.445324
4.559852,-0.151988
4.564852,-0.042652
4.569851,0.151585
4.574851,-0.493228
4.579851,0.758065
4.584850,-0.358168
4.589850,-0.151460
4.594850,1.534280
4.599849,-0.611847
4.604849,-0.300586
4.609848,0.865399
4.614848,0.244383
4.619848,-0.388082
4.624847,0.007013
4.629847,0.091664
4.634847,0.327211
4.639846,-0.057384
4.644846,0.384037
4.649846,-0.080415
4.654845,-0.741971
4.659845,0.180188
4.664845,-0.342465
4.669844,0.158675
4.674844,0.256054
4.679843,0.250666
4.684843,-0.311999
4.689843,1.293039
4.694842,-0.717221
4.699842,-0.671529
4.704842,-1.031056
4.709841,0.082981
4.714841,-0.795776
4.719841,0.638554
4.724840,-0.936016
4.729840,-0.698842
4.734839,0.188185
4.739839,0.346116
4.744839,-0.557563
4.749838,-0.275764
4.754838,0.354376
4.759838,0.120296
4.764837,-0.212074
4.769837,-0.031947
4.774837,0.024611
4.779836,-0.317642
4.784836,-1.358572
4.789835,-0.353943
4.794835,-0.047858
4.799835,0.455824
4.804834,0.254182
4.809834,-0.199481
4.814834,-0.259813
4.819833,0.207770
4.824833,0.819919
4.829833,-0.565286
4.834832,-0.663836
4.839832,0.126412
4.844831,0.274827
4.849831,0.245146
4.854831,-0.415397
4.859830,-0.455479
4.864830,0.133345
4.869830,-0.433593
4.874829,0.566810
4.879829,-0.474638
4.884829,0.500025
4.889828,0.038850
4.894828,0.571327
4.899827,-0.125165
4.904827,-0.053041
4.909827,-0.005484
4.914826,1.044636
4.919826,-0.109710
4.924826,-0.126011
4.929825,-0.272828
4.934825,0.807861
4.939825,-0.872002
4.944824,-0.309856
4.949824,0.000772
4.954823,-0.376950
4.959823,0.610748
4.964823,0.337941
4.969822,0.423060
4.974822,0.139026
4.979822,-0.158573
4.984821,-0.908527
4.989821,0.179961
4.994821,-0.312252
4.999820,-0.353176
5.004820,0.167937
5.009820,-0.336133
5.014819,-0.474839
5.019819,0.359063
5.024818,-0.341280
5.029818,0.079686
5.034818,-0.350900
5.039817,0.839624
5.044817,0.474109
5.049817,0.788187
5.054816,0.178569
5.059816,0.038360
5.064816,0.499252
5.069815,-0.283789
5.074815,0.341573
5.079814,-0.234091
5.084814,0.348755
5.089814,-0.592601
5.094813,-0.127191
5.099813,0.155038
5.104813,-0.145643
5.109812,-0.145308
5.114812,-0.244256
5.119812,-0.100762
5.124811,0.375195
5.129811,0.209032
5.134810,0.555485
5.139810,-0.268326
5.144810,-0.563639
5.149809,0.192392
5.154809,-0.927831
5.159809,0.824253
5.164808,0.583139
5.169808,0.113326
5.174808,0.414790
5.179807,-0.762882
5.184807,-0.323819
5.189806,0.621797
5.194806,0.094010
5.199806,0.690954
5.204805,0.143089
5.209805,0.055643
5.214805,-1.384386
5.219804,0.525064
5.224804,-0.667396
5.229804,0.184027
5.234803,-0.441900
5.239803,0.675315
5.244802,-0.014611
5.249802,0.021148
5.254802,-0.331031
5.259801,0.066154
5.264801,0.173162
5.269801,-0.375895
5.274800,0.055635
5.279800,0.470796
5.284800,0.075027
5.289799,0.271091
5.294799,0.575806
5.299798,-0.153480
5.304798,-0.971322
5.309798,0.483953
5.314797,-0.043922
5.319797,-0.757146
5.324797,-0.219103
5.329796,0.230321
5.334796,0.364316
5.339796,-0.024243
5.344795,-0.420628
5.349795,0.296699
5.354795,-1.099311
5.359794,0.045833
5.364794,0.860355
5.369793,0.867590
5.374793,0.300934
5.379793,-0.208016
5.384792,0.682134
5.389792,0.737221
5.394792,-0.563173
5.399791,-0.068919
5.404791,0.045638
5.409791,0.384814
5.414790,0.360967
5.419790,0.753679
5.424789,-0.402750
5.429789,0.407195
5.434789,0.038813
5.439788,-0.410844
5.444788,-0.674123
5.449788,-0.000739
5.454787,0.483541
5.459787,-1.097758
5.464787,0.719794
5.469786,-0.152875
5.474786,0.027925
5.479785,-0.732402
5.484785,0.449478
5.489785,-0.144286
5.494784,0.608093
5.499784,-0.155313
5.504784,0.233084
5.509783,0.015744
5.514783,0.524686
5.519783,-0.308481
5.524782,1.062334
5.529782,0.530280
5.534781,-0.323006
5.539781,0.136754
5.544781,-0.145645
5.549780,-1.349014
5.554780,0.166660
5.559780,-0.143868
